Date ,Time,Customer 15 minute
1/2/2015,2230,1145.68
1/2/2015,2245,1152.56
1/2/2015,2300,1080.72
1/2/2015,2315,1046.88
1/2/2015,2330,1057.44
1/2/2015,2345,1058.80
1/2/2015,2400,1059.92
1/3/2015,0015,1058.72
1/3/2015,0030,1074.00
1/3/2015,0045,1084.96
1/3/2015,0100,1087.76
1/3/2015,0115,1086.24
1/3/2015,0130,1094.56
1/3/2015,0145,1070.16
1/3/2015,0200,1059.76
1/3/2015,0215,1019.92
1/3/2015,0230,1016.64
1/3/2015,0245,1022.64
1/3/2015,0300,1057.28
1/3/2015,0315,1049.28
1/3/2015,0330,1049.12
1/3/2015,0345,1057.76
1/3/2015,0400,1056.24
1/3/2015,0415,1021.84
1/3/2015,0430,1098.56
1/3/2015,0445,1127.52
1/3/2015,0500,1163.28
1/3/2015,0515,1181.92
1/3/2015,0530,1190.88
1/3/2015,0545,1210.80
1/3/2015,0600,1216.80
1/3/2015,0615,1233.12
1/3/2015,0630,1260.48
1/3/2015,0645,1271.36
1/3/2015,0700,1287.04
1/3/2015,0715,1276.00
1/3/2015,0730,1275.60
1/3/2015,0745,1266.48
1/3/2015,0800,1264.48
1/3/2015,0815,1279.92
1/3/2015,0830,1257.84
1/3/2015,0845,1276.48
1/3/2015,0900,1266.80
1/3/2015,0915,1271.84
1/3/2015,0930,1313.52
1/3/2015,0945,1284.88
1/3/2015,1000,1303.60
1/3/2015,1015,1307.36
1/3/2015,1030,1309.28
1/3/2015,1045,1307.68
1/3/2015,1100,1319.04
1/3/2015,1115,1305.04
1/3/2015,1130,1300.16
1/3/2015,1145,1299.12
1/3/2015,1200,1285.36
1/3/2015,1215,1273.28
1/3/2015,1230,1231.28
1/3/2015,1245,1238.00
1/3/2015,1300,1244.00
1/3/2015,1315,1226.64
1/3/2015,1330,1235.36
1/3/2015,1345,1253.84
1/3/2015,1400,1253.84
1/3/2015,1415,1263.60
1/3/2015,1430,1266.08
1/3/2015,1445,1286.32
1/3/2015,1500,1281.28
1/3/2015,1515,1303.52
1/3/2015,1530,1289.44
1/3/2015,1545,1303.04
1/3/2015,1600,1302.48
1/3/2015,1615,1313.92
1/3/2015,1630,1291.92
1/3/2015,1645,1298.24
1/3/2015,1700,1357.68
1/3/2015,1715,1384.24
1/3/2015,1730,1388.00
1/3/2015,1745,1401.12
1/3/2015,1800,1374.80
1/3/2015,1815,1376.40
1/3/2015,1830,1378.56
1/3/2015,1845,1416.00
1/3/2015,1900,1405.36
1/3/2015,1915,1414.64
1/3/2015,1930,1391.12
1/3/2015,1945,1401.52
1/3/2015,2000,1401.20
1/3/2015,2015,1370.08
1/3/2015,2030,1342.56
1/3/2015,2045,1313.52
1/3/2015,2100,1340.64
1/3/2015,2115,1350.40
1/3/2015,2130,1319.60
1/3/2015,2145,1313.84
1/3/2015,2200,1342.40
1/3/2015,2215,1310.48
1/3/2015,2230,1280.80
1/3/2015,2245,1250.40
1/3/2015,2300,1218.32
1/3/2015,2315,1185.28
1/3/2015,2330,1188.00
1/3/2015,2345,1172.16
1/3/2015,2400,1182.56
1/4/2015,0015,1244.96
1/4/2015,0030,1298.00
1/4/2015,0045,1303.76
1/4/2015,0100,1321.12
1/4/2015,0115,1298.96
1/4/2015,0130,1295.20
1/4/2015,0145,1286.24
1/4/2015,0200,1276.32
1/4/2015,0215,1282.72
1/4/2015,0230,1290.00
1/4/2015,0245,1248.00
1/4/2015,0300,1198.56
1/4/2015,0315,1221.76
1/4/2015,0330,1243.36
1/4/2015,0345,1245.04
1/4/2015,0400,1254.08
1/4/2015,0415,1246.00
1/4/2015,0430,1248.08
1/4/2015,0445,1264.72
1/4/2015,0500,1268.16
1/4/2015,0515,1254.48
1/4/2015,0530,1250.56
1/4/2015,0545,1254.80
1/4/2015,0600,1252.64
1/4/2015,0615,1363.20
1/4/2015,0630,1388.64
1/4/2015,0645,1410.80
1/4/2015,0700,1410.32
1/4/2015,0715,1422.32
1/4/2015,0730,1423.68
1/4/2015,0745,1425.60
1/4/2015,0800,1432.96
1/4/2015,0815,1443.60
1/4/2015,0830,1460.48
1/4/2015,0845,1463.76
1/4/2015,0900,1473.12
1/4/2015,0915,1486.88
1/4/2015,0930,1483.68
1/4/2015,0945,1487.28
1/4/2015,1000,1476.96
1/4/2015,1015,1474.32
1/4/2015,1030,1370.32
1/4/2015,1045,1341.52
1/4/2015,1100,1293.68
1/4/2015,1115,1314.56
1/4/2015,1130,1265.04
1/4/2015,1145,1260.00
1/4/2015,1200,1232.80
1/4/2015,1215,1254.16
1/4/2015,1230,1261.20
1/4/2015,1245,1214.56
1/4/2015,1300,1248.40
1/4/2015,1315,1261.36
1/4/2015,1330,1242.72
1/4/2015,1345,1185.68
1/4/2015,1400,1241.76
1/4/2015,1415,1210.96
1/4/2015,1430,1213.20
1/4/2015,1445,1229.20
1/4/2015,1500,1244.08
1/4/2015,1515,1243.68
1/4/2015,1530,1253.04
1/4/2015,1545,1277.84
1/4/2015,1600,1273.20
1/4/2015,1615,1286.72
1/4/2015,1630,1295.84
1/4/2015,1645,1303.20
1/4/2015,1700,1295.68
1/4/2015,1715,1313.20
1/4/2015,1730,1318.64
1/4/2015,1745,1294.96
1/4/2015,1800,1262.56
1/4/2015,1815,1285.12
1/4/2015,1830,1296.00
1/4/2015,1845,1279.28
1/4/2015,1900,1283.52
1/4/2015,1915,1300.40
1/4/2015,1930,1236.40
1/4/2015,1945,1245.28
1/4/2015,2000,1248.48
1/4/2015,2015,1203.44
1/4/2015,2030,1194.32
1/4/2015,2045,1192.96
1/4/2015,2100,1194.96
1/4/2015,2115,1214.40
1/4/2015,2130,1204.56
1/4/2015,2145,1200.72
1/4/2015,2200,1199.76
1/4/2015,2215,1163.28
1/4/2015,2230,1157.20
1/4/2015,2245,1083.84
1/4/2015,2300,1070.72
1/4/2015,2315,1073.04
1/4/2015,2330,1079.76
1/4/2015,2345,1071.04
1/4/2015,2400,1063.84
1/5/2015,0015,1077.20
1/5/2015,0030,1069.04
1/5/2015,0045,1085.68
1/5/2015,0100,1112.00
1/5/2015,0115,1091.04
1/5/2015,0130,1082.48
1/5/2015,0145,1088.32
1/5/2015,0200,1096.00
1/5/2015,0215,1085.68
1/5/2015,0230,1090.00
1/5/2015,0245,1104.00
1/5/2015,0300,1081.52
1/5/2015,0315,1087.20
1/5/2015,0330,1093.28
1/5/2015,0345,1101.44
1/5/2015,0400,1095.28
1/5/2015,0415,1103.44
1/5/2015,0430,1100.96
1/5/2015,0445,1095.44
1/5/2015,0500,1100.48
1/5/2015,0515,1192.88
1/5/2015,0530,1232.32
1/5/2015,0545,1241.60
1/5/2015,0600,1258.08
1/5/2015,0615,1319.36
1/5/2015,0630,1377.92
1/5/2015,0645,1384.08
1/5/2015,0700,1384.40
1/5/2015,0715,1420.88
1/5/2015,0730,1482.08
1/5/2015,0745,1511.68
1/5/2015,0800,1488.88
1/5/2015,0815,1493.20
1/5/2015,0830,1486.48
1/5/2015,0845,1484.40
1/5/2015,0900,1476.72
1/5/2015,0915,1496.80
1/5/2015,0930,1507.36
1/5/2015,0945,1572.40
1/5/2015,1000,1466.40
1/5/2015,1015,1453.36
1/5/2015,1030,1393.84
1/5/2015,1045,1375.76
1/5/2015,1100,1402.40
1/5/2015,1115,1371.84
1/5/2015,1130,1349.60
1/5/2015,1145,1327.76
1/5/2015,1200,1254.80
1/5/2015,1215,1267.52
1/5/2015,1230,1269.44
1/5/2015,1245,1281.28
1/5/2015,1300,1248.24
1/5/2015,1315,1297.20
1/5/2015,1330,1285.52
1/5/2015,1345,1254.00
1/5/2015,1400,1204.48
1/5/2015,1415,1273.52
1/5/2015,1430,1285.28
1/5/2015,1445,1359.76
1/5/2015,1500,1319.12
1/5/2015,1515,1333.20
1/5/2015,1530,1347.12
1/5/2015,1545,1350.64
1/5/2015,1600,1457.36
1/5/2015,1615,1363.84
1/5/2015,1630,1384.40
1/5/2015,1645,1371.92
1/5/2015,1700,1348.40
1/5/2015,1715,1373.36
1/5/2015,1730,1359.60
1/5/2015,1745,1337.44
1/5/2015,1800,1346.56
1/5/2015,1815,1343.92
1/5/2015,1830,1357.12
1/5/2015,1845,1333.92
1/5/2015,1900,1333.44
1/5/2015,1915,1337.36
1/5/2015,1930,1281.28
1/5/2015,1945,1291.20
1/5/2015,2000,1267.92
1/5/2015,2015,1257.44
