Wall time,Step,Value
1538627475,7,0.290358007
1538627475,20,0.267004222
1538627475,26,0.247911841
1538627476,42,0.18699576
1538627476,44,0.206095323
1538627476,47,0.277112842
1538627476,49,0.21106182
1538627476,55,0.193392307
1538627476,58,0.228754222
1538627476,73,0.245889261
1538627476,75,0.237828881
1538627476,76,0.22274363
1538627476,81,0.170350865
1538627477,89,0.163951471
1538627477,96,0.222496867
1538627477,104,0.176077068
1538627477,107,0.20029293
1538627477,108,0.19170402
1538627477,115,0.225784481
1538627477,120,0.220925406
1538627477,128,0.17609483
1538627478,141,0.15751031
1538627478,152,0.153790161
1538627478,157,0.175162822
1538627478,160,0.181751922
1538627478,169,0.201336458
1538627478,170,0.204327703
1538627478,180,0.129797459
1538627478,185,0.132631883
1538627478,187,0.138292432
1538627478,188,0.143865436
1538627478,192,0.162744686
1538627478,200,0.146783099
1538627478,208,0.163968608
1538627478,209,0.167267606
1538627478,214,0.189633816
1538627479,225,0.161718592
1538627479,231,0.110388502
1538627479,236,0.129032537
1538627479,239,0.135699525
1538627479,251,0.138164431
1538627479,257,0.152380481
1538627479,262,0.176177248
1538627479,265,0.169833466
1538627479,269,0.170963705
1538627479,273,0.157058865
1538627479,275,0.138637543
1538627480,294,0.137910679
1538627480,299,0.124142312
1538627480,300,0.12993516
1538627480,305,0.137975127
1538627480,310,0.161033705
1538627480,312,0.164166376
1538627480,320,0.155802637
1538627480,321,0.146319166
1538627480,328,0.099864505
1538627480,332,0.110984839
1538627481,341,0.156030148
1538627481,349,0.123268753
1538627481,365,0.149800241
1538627481,369,0.146665886
1538627481,375,0.110915519
1538627481,379,0.09721534
1538627481,381,0.106620245
1538627482,394,0.112809591
1538627482,410,0.146143362
1538627482,423,0.110283941
1538627482,424,0.10655418
1538627482,426,0.092949122
1538627482,432,0.107625499
1538627482,441,0.119478196
1538627482,443,0.108491458
1538627482,444,0.109121896
1538627482,447,0.113524199
1538627482,453,0.123028085
1538627483,462,0.134138867
1538627483,465,0.135128319
1538627483,466,0.135553181
1538627483,476,0.090304263
1538627483,493,0.105687581
1538627483,495,0.105412692
1538627483,509,0.132353947
1538627483,514,0.129359871
1538627483,516,0.127064914
1538627483,519,0.116936922
1538627483,527,0.091670148
1538627483,533,0.107179314
1538627483,535,0.117702834
1538627484,538,0.123595022
1538627484,544,0.102829129
1538627484,549,0.114634745
1538627484,559,0.123005226
1538627484,565,0.12245407
1538627484,571,0.098158866
1538627484,575,0.089703485
1538627484,581,0.103599705
1538627484,583,0.10874033
1538627484,584,0.115139239
1538627484,586,0.1297521
1538627484,588,0.109479651
1538627484,589,0.09949778
1538627485,594,0.104939871
1538627485,595,0.109251916
1538627485,604,0.122857541
1538627485,610,0.119470254
1538627485,612,0.120309897
1538627485,617,0.110121109
1538627485,622,0.087155811
1538627485,624,0.08900743
1538627485,636,0.118078724
1538627485,643,0.103134856
