Wall time,Step,Value
1538627474.891066,7,0.2903580069541931
1538627475.2269232,20,0.26700422167778015
1538627475.3294387,26,0.24791184067726135
1538627475.6760375,42,0.1869957596063614
1538627475.7229013,44,0.20609532296657562
1538627475.7912438,47,0.27711284160614014
1538627475.828345,49,0.21106182038784027
1538627475.952339,55,0.1933923065662384
1538627476.0187304,58,0.2287542223930359
1538627476.2589097,73,0.24588926136493683
1538627476.2921042,75,0.23782888054847717
1538627476.3057723,76,0.22274363040924072
1538627476.3897374,81,0.17035086452960968
1538627476.542045,89,0.16395147144794464
1538627476.6631227,96,0.2224968671798706
1538627476.794939,104,0.17607706785202026
1538627476.8495908,107,0.2002929300069809
1538627476.8661878,108,0.19170401990413666
1538627477.006784,115,0.22578448057174683
1538627477.0995355,120,0.22092540562152863
1538627477.333852,128,0.17609483003616333
1538627477.5056865,141,0.15751031041145325
1538627477.6179652,152,0.1537901610136032
1538627477.6697106,157,0.17516282200813293
1538627477.7009547,160,0.18175192177295685
1538627477.8103023,169,0.20133645832538605
1538627477.8200655,170,0.20432770252227783
1538627477.9313695,180,0.12979745864868164
1538627477.986043,185,0.13263188302516937
1538627478.0075235,187,0.13829243183135986
1538627478.0182636,188,0.1438654363155365
1538627478.0592678,192,0.1627446860074997
1538627478.160807,200,0.14678309857845306
1538627478.2760146,208,0.16396860778331757
1538627478.2916374,209,0.1672676056623459
1538627478.3951285,214,0.1896338164806366
1538627478.538649,225,0.16171859204769135
1538627478.6226122,231,0.11038850247859955
1538627478.6919324,236,0.12903253734111786
1538627478.722199,239,0.13569952547550201
1538627478.8832948,251,0.1381644308567047
1538627478.9867861,257,0.15238048136234283
1538627479.055133,262,0.1761772483587265
1538627479.1039453,265,0.1698334664106369
1538627479.1605728,269,0.17096370458602905
1538627479.2269635,273,0.15705886483192444
1538627479.256255,275,0.13863754272460938
1538627479.5686803,294,0.13791067898273468
1538627479.659483,299,0.12414231151342392
1538627479.6760778,300,0.129935160279274
1538627479.7600427,305,0.13797512650489807
1538627479.8381498,310,0.16103370487689972
1538627479.8713458,312,0.1641663759946823
1538627480.0500143,320,0.1558026373386383
1538627480.071494,321,0.1463191658258438
1538627480.3038616,328,0.09986450523138046
1538627480.3790379,332,0.11098483949899673
1538627480.5518491,341,0.15603014826774597
1538627480.6924453,349,0.12326875329017639
1538627480.9511702,365,0.14980024099349976
1538627481.0810223,369,0.14666588604450226
1538627481.219665,375,0.11091551929712296
1538627481.3192482,379,0.09721533954143524
1538627481.3436563,381,0.10662024468183517
1538627481.5389245,394,0.11280959099531174
1538627481.7878895,410,0.1461433619260788
1538627481.9567943,423,0.11028394103050232
1538627481.9704626,424,0.10655418038368225
1538627481.9997537,426,0.09294912219047546
1538627482.0749307,432,0.10762549936771393
1538627482.2252882,441,0.11947819590568542
1538627482.2516463,443,0.1084914579987526
1538627482.263364,444,0.1091218963265419
