Wall time,Step,Value
1538627475,7,2.82E-10
1538627475,20,0.000253898
1538627475,26,0.00065352
1538627476,42,0.002578163
1538627476,44,0.002414645
1538627476,47,0.002097097
1538627476,49,0.006393732
1538627476,55,0.005279989
1538627476,58,0.004578917
1538627476,73,0.006202973
1538627476,75,0.006897289
1538627476,76,0.008228727
1538627476,81,0.017797474
1538627477,89,0.02078452
1538627477,96,0.015380057
1538627477,104,0.023347422
1538627477,107,0.020464536
1538627477,108,0.021284776
1538627477,115,0.018141259
1538627477,120,0.018910099
1538627477,128,0.036584005
1538627478,141,0.046831444
1538627478,152,0.055254959
1538627478,157,0.046751119
1538627478,160,0.043235779
1538627478,169,0.037987288
1538627478,170,0.037503589
1538627478,180,0.116215169
1538627478,185,0.104262188
1538627478,187,0.09453395
1538627478,188,0.089532293
1538627478,192,0.074894555
1538627478,200,0.094137907
1538627478,208,0.074497916
1538627478,209,0.071933143
1538627478,214,0.061674889
1538627479,225,0.075157478
1538627479,231,0.188352421
1538627479,236,0.143012896
1538627479,239,0.125872239
1538627479,251,0.130732343
1538627479,257,0.108134396
1538627479,262,0.090042941
1538627479,265,0.089059755
1538627479,269,0.086236879
1538627479,273,0.098060712
1538627479,275,0.144209325
1538627480,294,0.18691811
1538627480,299,0.185000047
1538627480,300,0.175259501
1538627480,305,0.150638804
1538627480,310,0.123325206
1538627480,312,0.117001407
1538627480,320,0.115360402
1538627480,321,0.128585503
1538627480,328,0.34535405
1538627480,332,0.277142286
1538627481,341,0.173661768
1538627481,349,0.221240148
1538627481,365,0.1415205
1538627481,369,0.142762646
1538627481,375,0.282563031
1538627481,379,0.38352105
1538627481,381,0.338702887
1538627482,394,0.311329484
1538627482,410,0.175597876
1538627482,423,0.333101273
1538627482,424,0.334280014
1538627482,426,0.498813391
1538627482,432,0.360765487
1538627482,441,0.337624788
1538627482,443,0.36501646
1538627482,444,0.349871606
1538627482,447,0.313265651
1538627482,453,0.254767954
1538627483,462,0.199793354
1538627483,465,0.193826169
1538627483,466,0.191539735
1538627483,476,0.549348354
1538627483,493,0.39994365
1538627483,495,0.378161788
1538627483,509,0.227606535
1538627483,514,0.219713479
1538627483,516,0.223014355
1538627483,519,0.258541763
1538627483,527,0.553945482
1538627483,533,0.407638997
1538627483,535,0.363212377
1538627484,538,0.375735611
1538627484,544,0.423592895
1538627484,549,0.345836312
1538627484,559,0.257986486
1538627484,565,0.248001218
1538627484,571,0.480686277
1538627484,575,0.648733437
1538627484,581,0.473172367
1538627484,583,0.427745104
1538627484,584,0.401626319
1538627484,586,0.355121136
1538627484,588,0.478427202
1538627484,589,0.535479903
1538627485,594,0.44173637
1538627485,595,0.41736567
1538627485,604,0.30282858
1538627485,610,0.272805482
1538627485,612,0.268239528
1538627485,617,0.314116389
1538627485,622,0.780635893
1538627485,624,0.708245933
1538627485,636,0.452230304
1538627485,643,0.480591297
1538627485,644,0.454027146
1538627485,646,0.408650845
1538627485,648,0.407305956
1538627485,649,0.388524622
1538627485,651,0.352633744
1538627485,663,0.29427141
1538627486,666,0.339713395
1538627486,670,0.762267351
1538627486,673,0.764408827
1538627486,676,0.635604799
1538627486,680,0.530635238
1538627486,681,0.503311872
1538627486,685,0.487348616
1538627486,690,0.551345944
1538627486,691,0.546859086
1538627486,701,0.361960053
1538627486,705,0.325139076
1538627486,708,0.317342192
1538627486,716,0.493499458
1538627486,720,0.900799632
1538627486,723,0.772172093
1538627486,724,0.720901966
1538627486,725,0.679356158
1538627486,732,0.477984518
1538627486,738,0.617802262
1538627486,740,0.583192825
1538627486,741,0.551525116
1538627487,745,0.474715143
1538627487,749,0.403809309
1538627487,752,0.362495363
1538627487,753,0.354143858
1538627487,754,0.346077979
1538627487,758,0.329425126
1538627487,767,0.643628001
1538627487,771,0.866398692
1538627487,772,0.818702161
1538627487,773,0.764319837
1538627487,775,0.688718557
1538627487,776,0.650276899
1538627487,782,0.472644031
1538627487,786,0.682784438
1538627487,787,0.653859198
1538627487,789,0.617111921
1538627487,791,0.551179647
1538627487,794,0.502082765
1538627487,795,0.493594378
1538627487,796,0.470680982
1538627487,797,0.451843053
1538627487,800,0.397746861
1538627487,804,0.370806843
1538627487,809,0.344900697
1538627487,810,0.353636831
1538627487,811,0.390554041
1538627487,817,0.91024524
1538627488,834,0.745348573
1538627488,838,0.648661613
1538627488,840,0.579294264
1538627488,845,0.494441003
1538627488,869,0.954828978
1538627488,871,0.84224534
1538627488,872,0.793616652
1538627488,876,0.661857545
1538627488,878,0.589049816
1538627488,882,0.697337925
1538627488,884,0.750374973
1538627488,892,0.551125228
1538627488,898,0.43611455
1538627488,902,0.406120062
1538627489,909,0.426756829
1538627489,911,0.444707215
1538627489,917,1.049507856
1538627489,919,0.939405084
1538627489,922,0.790014803
1538627489,923,0.745830417
1538627489,925,0.688985407
1538627489,933,0.780448735
1538627489,934,0.747264266
1538627489,937,0.666547596
1538627489,944,0.51521486
1538627489,947,0.453172147
1538627489,956,0.391576111
1538627489,960,0.461347699
1538627489,963,0.766652763
1538627489,964,1.0286659
1538627489,973,0.749767065
1538627489,974,0.714022338
1538627489,978,0.561172307
1538627489,979,0.653485775
1538627489,980,0.751366854
1538627489,981,0.83927536
1538627490,985,0.729916573
1538627490,986,0.690116465
1538627490,989,0.585971951
1538627490,990,0.593054771
1538627490,998,0.44076699
1538627490,1002,0.418943733
1538627490,1004,0.410710901
1538627490,1006,0.414783269
1538627490,1007,0.457648009
1538627490,1016,1.064037323
1538627490,1019,0.88422668
1538627490,1027,0.579218388
1538627490,1029,0.775239766
1538627491,1033,0.759579241
1538627491,1034,0.752887905
1538627491,1039,0.611572444
1538627491,1046,0.465347797
